sectionId,sectionTitle,gid,logo,title,county,link 1,link 1 text,link 2,link 2 text,link 3,link 3 text,link 4,link 4 text,link 5,link 5 text,description,video,video title,phone
programs,Resources Sent to the Home,dolly,DPIL_Logo_SMALL.png,Dolly Parton's Imagination Library,Boyle,https://imaginationlibrary.com/usa/affiliate/KYBOYLE/,Boyle County Residents,https://imaginationlibrary.com/usa/affiliate/KYMERCER/,Mercer County Residents,,,,,,,"The Imagination Library mails a free high-quality, age-appropriate book to the home address of all registered children each month. Sign up in your county of residence:",https://www.youtube.com/embed/DMeagPEaL6E,@imaginationlibrary Announces Statewide Expansion in Kentucky,
programs,Resources Sent to the Home,ready4k,ParentPowered-logo-220x205.png,Parent Powered,Something,https://www.hkykids.org/signup/danville-ready4k,Danville City Schools,https://www.hkykids.org/signup/boyle-ready4k,Boyle County Schools,https://www.hkykids.org/signup/mercer-ready4k,Mercer County Schools,https://www.hkykids.org/signup/burgin-ready4k,Burgin City Schools,https://www.hkykids.org/signup/hkykids-ready4k,Other School Districts,"ParentPowered Family Engagement Programs help districts, community organizations, and schools strengthen partnerships with families and caregivers birthâ€“grade 12 to improve student engagement, attendance, academics, and mental health.\nPlease select the school district associated with your residential address--even if this is not the school you attend or intend to attend.",https://www.youtube.com/embed/HVb7yfI0HT4,Introducing ParentPowered,
AtHome,At Home Activities,LearnKY,LLKY-square.jpg,Lets Learn KY log,Boyle,https://www.letslearnky.org/#together,Activities,https://www.letslearnky.org/helpful-resources/,Resources,https://www.letslearnky.org/#kindergarten-readiness,Kindergarten Readiness,,,,,Let's Learn Kentucky is an excellent resource for:,,,
kids-and-parents,Programs for Kids and Parents,cradleSchool,CradleSchool.png,Cradle School,Boyle,https://www.danvilleschools.net/families/family-resource-and-youth-services-centers-frysc,Danville,https://www.facebook.com/mercercountycradleschool/,Mercer,,,,,,,Free educational program for caregivers and children birth to age five. Weekly on-site. Monthly home visits.,,,
kids-and-parents,Programs for Kids and Parents,GladysProject,GladysSquare.png,Gladys Square,Boyle,https://www.facebook.com/thegladysproject,The Gladys Project,,,,,,,,,Personalized early literacy program for children ages one to five. Weekly meetings with a volunteer.,,,
kids-and-parents,Programs for Kids and Parents,Boylelibrary,bcpl-logo.png,Boyle County Public Library,Boyle,https://www.boylepublib.org/,Boyle Public Library,,,,,,,,,"Storytime for toddlers and preschoolers with stories, rhymes, and crafts. Library card to check out materials.",,,
kids-and-parents,Programs for Kids and Parents,Mercerlibrary,MercerLib.avif,Mercer County Public Library,Boyle,https://www.mcplib.info/,Mercer Public Library,,,,,,,,,"Storytime for toddlers and preschoolers with stories, rhymes, and crafts. Library card to check out materials.",,,
kids-and-parents,Programs for Kids and Parents,artCenterBG,ArtCenteSquare.png,Art Center of the Bluegrass,Boyle,https://artcenterky.org/,Art Center of the Bluegrass,,,,,,,,,"Lisis Art Lab for free, drop-in creative exploration. Art box with free art kits for take-home fun.",,,
kids-and-parents,Programs for Kids and Parents,kinderMusik,KindermusikSquare.png,Kindermusik,Boyle,https://www.kindermusik.com/studio/52985,Kindermusik,,,,,,,,,Music and movement classes for caregivers and children birth to age six. Weekly classes with take-home resources.,,,
kids-and-parents,Programs for Kids and Parents,PlaidElephant,Plaid_Elephant_for_IG.jpg,Plaid Elephant Books,Boyle,https://plaidelephantbooks.com/,Plaid Elephant Books,,,,,,,,,Children's bookstore. Free musical storytime on the 3rd Wednesday of the month.,,,
